user_id,item_id,rating,timestamp
619,568,5
641,192,4
648,177,5
533,423,5
520,286,5
524,1113,3
472,404,3
298,208,5
507,333,4
222,180,3
270,1074,5
707,1171,3
663,272,5
435,1268,5
294,827,1
43,699,4
606,71,5
458,134,5
661,238,4
13,87,5
624,147,4
610,275,4
255,300,3
455,276,4
393,977,4
697,1245,1
620,740,5
503,70,4
453,9,3
697,754,3
67,235,3
13,631,3
665,748,4
493,684,4
472,1058,4
167,735,4
536,188,3
666,502,3
478,616,4
689,597,4
515,900,4
92,9,4
634,756,3
712,785,5
712,82,5
305,684,3
551,11,5
342,327,4
83,259,2
459,1115,3
664,92,4
132,521,4
586,468,3
234,1285,3
457,473,4
115,980,4
222,294,3
634,762,3
43,550,3
500,709,4
60,378,4
541,1442,1
238,294,3
734,419,4
92,575,2
695,301,3
589,243,3
82,1078,3
624,1028,3
94,928,3
130,2,4
683,306,3
504,1084,4
710,300,3
644,293,4
497,11,3
480,661,4
648,407,4
151,290,1
490,181,4
184,223,4
663,243,3
527,182,5
496,96,4
469,582,5
310,50,5
144,98,4
747,228,4
699,495,3
7,434,4
439,1328,4
59,321,4
473,9,5
655,753,3
5,387,3
189,175,5
393,1051,3
621,763,4
103,181,4
544,323,2
655,1535,3
59,774,2
723,28,3
497,373,4
608,1183,1
607,498,4
606,25,5
85,707,4
606,925,4
474,86,4
243,477,4
592,898,2
536,62,4
175,195,3
655,1600,3
188,928,3
632,215,4
653,506,2
605,1226,4
526,544,1
711,707,5
694,699,4
178,229,4
155,331,3
10,60,3
506,423,5
429,70,4
740,748,3
230,588,5
503,753,1
201,473,3
145,111,3
503,504,4
655,1560,2
669,82,4
699,258,5
374,1001,1
179,300,4
503,702,2
749,2,4
332,230,5
144,307,1
10,708,4
377,194,5
617,145,1
1,87,5
748,154,3
709,816,2
459,117,5
567,469,4
675,1653,5
632,181,5
321,182,3
603,1483,5
537,1045,3
676,169,5
697,277,5
661,200,3
521,8,3
276,72,4
378,31,4
630,895,4
546,977,5
648,238,3
512,56,5
548,344,1
619,252,3
301,546,4
745,215,3
405,45,1
490,1067,2
457,235,3
724,311,1
618,11,4
646,347,2
707,995,4
378,674,3
691,56,4
321,283,3
121,411,1
435,625,2
655,700,3
486,1082,2
374,2,4
493,183,5
417,219,3
716,969,4
577,191,4
536,443,3
222,56,5
616,348,3
735,258,4
385,652,5
63,596,2
488,514,2
577,194,4
301,412,4
405,351,1
416,1469,3
734,98,4
747,25,3
682,697,4
715,217,2
650,546,1
488,724,3
718,111,4
621,109,4
749,56,2
447,629,3
748,528,3
389,56,5
608,136,3
648,70,2
680,274,3
621,53,4
326,419,3
660,228,3
717,322,5
587,691,4
214,173,4
280,528,3
95,216,5
13,668,1
311,499,4
534,286,3
266,319,2
601,154,5
704,461,3
69,234,5
24,92,5
92,95,3
644,291,4
450,1435,4
666,1011,4
707,799,4
716,187,3
479,1608,2
201,436,3
339,131,5
328,597,3
646,1237,3
749,125,5
294,1012,4
727,746,4
655,1644,1
486,298,3
682,737,3
453,496,4
295,222,4
585,1623,4
350,435,5
600,22,5
682,327,3
648,997,1
653,234,3
279,1490,4
440,70,4
435,631,2
479,24,3
499,194,4
653,451,2
746,96,4
654,963,4
655,433,2
378,213,5
413,328,3
532,451,4
246,96,3
654,268,1
490,137,3
746,117,4
738,196,4
85,65,3
89,731,3
151,443,5
666,636,4
286,301,5
653,790,2
393,1028,3
357,760,3
269,208,2
573,10,4
731,197,5
417,232,3
709,633,3
515,1399,4
699,224,3
657,922,4
586,202,4
546,234,4
642,1480,1
233,293,4
708,751,4
696,523,5
611,751,4
504,632,3
455,270,4
429,928,2
577,71,5
514,385,3
233,371,5
28,332,2
692,1040,2
690,64,5
279,1488,4
325,1523,4
606,135,5
332,96,5
82,175,4
376,301,3
276,235,4
488,168,4
85,246,4
577,147,4
325,205,4
701,100,5
440,904,5
716,191,5
405,317,4
734,166,3
553,191,4
629,984,3
682,412,1
544,271,3
561,1512,5
733,253,3
719,50,2
164,222,4
641,303,3
451,1265,4
171,304,3
439,121,2
429,654,4
207,546,3
386,405,4
1,238,4
735,741,2
653,520,3
663,928,3
606,326,4
