user_id,item_id,rating,timestamp
618,567,5,885954083
640,191,4,879370150
647,176,5,884882702
532,422,5,888844906
519,285,5,885168591
523,1112,3,884636236
471,403,3,875982922
297,207,5,884182867
506,332,4,889964121
221,179,3,878181804
269,1073,5,876955770
706,1170,3,880059687
662,271,5,889491515
434,1267,5,884131950
293,826,1,889243393
42,698,4,883956040
605,70,5,880923745
457,133,5,886395963
660,237,4,876016491
12,86,5,882398814
623,146,4,879792557
609,274,4,888703453
254,299,3,883215358
454,275,4,879109594
392,976,4,887745501
696,1244,1,882622526
619,739,5,889987349
502,69,4,880383174
452,8,3,888207161
696,753,3,882621431
66,234,3,875379643
12,630,3,882140624
664,747,4,884290076
492,683,4,884132267
471,1057,4,875980081
166,734,4,892738277
535,187,3,882359755
665,501,3,880567883
477,615,4,889398260
688,596,4,876676165
514,899,4,887658975
91,8,4,875640148
633,755,3,875729749
711,784,5,874730206
711,81,5,874730031
304,683,3,886323591
550,10,5,892777052
341,326,4,874984025
82,258,2,883869199
458,1114,3,879563506
663,91,4,876525002
131,520,4,891278996
585,467,3,884066087
233,1284,3,892335764
456,472,4,882395360
114,979,4,881169984
221,293,3,877562795
633,761,3,879787667
42,549,3,883956040
499,708,4,883873640
59,377,4,883327566
540,1441,1,884046888
237,293,3,883575813
733,418,4,891023066
91,574,2,875907763
694,300,3,888806120
588,242,3,883352735
81,1077,3,878769748
623,1027,3,879793485
93,927,3,891723774
129,1,4,876252327
682,305,3,893286347
503,1083,4,887837958
709,299,3,882063407
643,292,4,889076851
496,10,3,879310825
479,660,4,891208327
647,406,4,884367248
150,289,1,879543400
489,180,4,875427873
183,222,4,889911195
662,242,3,889492076
526,181,5,879456132
495,95,4,876065881
468,581,5,879524266
309,49,5,879436177
143,97,4,888105587
746,227,4,888639736
698,494,3,878883113
6,433,4,891352384
438,1327,4,882893891
58,320,4,888206764
472,8,5,878157357
654,752,3,887860615
4,386,3,875637419
188,174,5,893265506
392,1050,3,887745544
620,762,4,880738462
102,180,4,880415875
543,322,2,884796016
654,1534,3,887429023
58,773,2,888206562
722,27,3,880498970
496,372,4,879311007
607,1182,1,880405484
606,497,4,883879556
605,24,5,878149689
84,706,4,879454350
605,924,4,880922566
473,85,4,887927456
242,476,4,879987736
591,897,2,887257199
535,61,4,882360873
174,194,3,877107790
654,1599,3,888474286
187,927,3,875074847
631,214,4,879458834
652,505,2,880606619
604,1225,4,879510864
525,543,1,885682477
710,706,5,879993579
693,698,4,875728639
177,228,4,885784558
154,330,3,879370860
9,59,3,877892110
505,422,5,874874850
428,69,4,882386401
739,747,3,879522872
229,587,5,880484683
502,752,1,880383064
