user_id,item_id,rating,timestamp
185,301,3,891717742
21,376,1,878887116
243,50,2,880606923
297,473,4,884182806
114,264,2,881171488
252,464,5,891628467
285,1013,5,879781125
199,221,5,876042340
223,28,3,888104457
302,784,3,879485318
193,273,2,879539794
118,391,4,886176814
166,485,4,892738452
298,143,4,877881320
307,0,4,887736532
94,545,2,879196566
101,767,2,883748450
224,192,4,879539727
289,87,4,880731963
156,273,4,886890835
180,1080,1,878962623
275,795,1,874791932
6,31,4,891350932
283,303,4,885329322
275,563,3,874791805
245,200,5,884921594
241,1136,5,879741196
98,3,5,886519097
177,331,3,882823437
250,99,4,886271884
24,180,5,885853415
289,142,5,880474293
41,422,5,881107687
114,19,3,881171009
19,287,1,879667584
245,918,4,884920949
137,25,5,879024232
166,231,1,892738341
56,303,5,883698581
222,273,4,891550094
91,1048,1,890251826
245,415,3,884923047
193,164,4,879546723
240,689,2,887249482
177,247,4,882823954
126,228,5,884364867
224,236,5,879539643
298,228,3,878192429
224,479,5,879540748
275,53,3,874791025
41,402,3,881108684
94,624,4,888954412
7,337,4,879361873
278,153,5,875296291
144,274,2,885557505
118,1152,5,874781198
27,208,4,881961214
285,207,4,877531942
270,131,5,885848672
264,117,4,875320714
41,95,5,881107178
167,150,5,884288058
109,306,4,886987260
57,143,4,884304936
270,345,4,885844430
278,831,3,881375854
236,513,4,879376641
93,788,4,891720887
127,484,3,879966895
297,316,4,884182806
193,384,2,879524643
221,749,5,883815120
223,244,3,888082216
81,134,3,878769629
285,378,5,877533771
243,814,4,880605185
6,478,4,891352010
173,367,1,886434402
193,1210,2,879551380
81,1133,2,884714402
243,755,2,880605157
94,786,2,888954930
298,954,4,889502823
83,404,3,883452363
298,110,3,877878184
193,465,4,879525876
98,267,3,885678247
84,426,3,879456350
302,918,4,879467295
212,272,5,878870987
120,513,3,891387947
67,116,4,876973939
18,3,4,885412840
267,230,4,875744136
4,1,3,875636053
278,1335,1,875298353
79,465,5,887401701
253,163,4,886472768
297,280,3,884183336
278,1239,1,892174404
65,297,4,883601324
267,1034,2,875542174
98,78,4,885680138
6,454,4,891353086
199,672,5,884128554
118,327,4,876923913
212,171,5,878955442
275,321,3,874786392
93,1216,3,891723086
91,1078,3,886443455
255,451,4,882164999
0,60,4,878542420
14,404,2,879455957
91,76,3,875654637
291,173,5,881105481
250,747,2,886272175
180,219,4,878962392
147,407,5,877399018
57,1097,4,884304936
82,233,4,887665548
193,180,3,879521396
109,687,1,886987605
53,105,3,880937882
302,68,5,879467542
15,943,1,877727122
275,1090,3,874793035
193,1027,2,879541148
90,322,2,891438397
285,170,4,877531791
177,567,4,882826555
302,841,2,879484804
91,171,4,875653271
35,338,5,882157581
69,745,3,884150257
278,67,4,875307407
298,1017,3,889502324
193,53,3,879525876
302,814,3,879485532
267,929,2,875742942
65,257,4,883601089
82,622,4,880308578
267,144,1,875744501
82,575,4,880308755
180,263,2,878961624
