user_id,item_id,rating
591,408,1
197,342,3
312,719,2
795,745,3
217,647,4
931,606,4
492,422,2
706,115,5
187,180,3
739,257,3
624,201,3
91,183,3
386,237,5
22,704,4
335,201,1
654,222,3
370,196,4
428,1070,2
188,1400,4
762,257,3
600,150,3
765,186,4
587,712,3
885,558,2
496,380,3
248,123,5
589,281,2
526,207,4
6,674,5
532,25,3
333,424,4
785,280,4
665,810,4
884,96,5
803,182,4
275,174,5
492,60,4
614,1064,4
307,392,4
521,179,5
576,283,4
916,534,4
425,1115,4
629,863,4
91,924,3
778,49,5
654,473,3
152,49,1
748,1614,4
67,120,1
316,267,3
809,300,5
507,317,4
692,442,2
221,71,4
41,194,5
108,237,2
441,25,3
115,49,3
100,277,2
193,178,4
93,174,4
83,407,5
932,150,4
148,257,3
542,213,3
588,338,5
460,304,2
714,144,2
580,282,2
282,287,2
631,738,3
378,284,5
711,1054,4
441,317,4
710,1167,4
206,561,2
270,469,3
683,407,5
497,1285,3
531,227,5
589,474,4
96,204,2
415,839,4
326,717,4
502,839,1
789,567,3
830,209,5
200,1038,3
552,150,5
391,249,3
496,596,3
279,283,3
681,179,3
541,10,2
143,706,3
399,342,4
197,182,5
46,300,4
871,281,5
654,1355,3
264,322,3
647,877,3
93,237,5
747,195,3
785,654,4
47,97,5
585,172,3
353,506,3
504,613,3
342,659,3
263,209,5
933,69,4
568,457,2
106,257,4
298,151,4
726,540,4
253,175,3
404,435,1
51,116,4
621,230,4
422,354,3
822,134,4
489,150,1
86,127,3
324,94,2
345,152,3
664,345,2
939,263,1
536,512,4
631,95,5
710,712,3
649,602,4
486,683,5
214,175,5
517,594,3
360,58,4
504,264,4
859,1060,3
28,263,3
716,261,4
846,595,3
188,1314,3
850,181,5
870,49,5
378,204,5
306,257,5
360,227,4
535,87,4
654,191,3
272,344,3
662,470,3
879,567,5
604,281,4
704,221,5
177,182,4
587,14,5
681,1134,2
93,540,3
931,1396,4
452,368,2
654,1157,3
482,0,4
197,217,3
622,209,5
408,1019,5
550,507,4
21,861,1
716,49,4
324,187,2
187,473,4
41,654,3
718,215,4
404,1209,1
386,116,3
422,315,4
567,422,4
585,1041,4
708,287,5
59,264,5
243,817,2
923,0,5
737,204,5
275,383,3
911,658,5
523,276,3
773,553,1
268,755,1
166,654,4
289,497,4
781,907,3
766,920,5
921,549,3
144,274,2
98,237,4
398,575,3
759,840,3
455,217,4
95,483,5
654,256,3
391,10,4
714,57,4
773,448,1
585,68,4
12,526,5
692,427,3
180,244,2
137,13,3
21,565,3
880,303,3
373,160,5
292,1227,1
682,307,3
526,465,2
268,1266,1
888,461,5
649,927,2
706,284,5
233,288,4
84,300,4
781,293,3
535,147,4
453,95,4
649,629,5
842,549,3
177,195,4
84,50,2
161,1046,5
626,696,5
789,1184,2
98,594,4
895,602,4
512,180,5
58,708,5
795,125,3
866,0,4
292,65,2
165,322,5
713,470,4
36,404,4
632,147,1
879,1184,1
180,276,1
419,269,3
603,412,3
488,260,2
496,507,3
664,185,4
745,175,5
103,345,3
41,65,4
473,474,4
415,303,5
642,958,3
282,69,4
898,134,4
654,1141,2
665,654,4
522,1471,5
46,873,3
161,116,4
750,688,2
458,163,4
616,562,1
576,54,3
114,951,5
644,213,4
398,1134,2
638,461,5
436,178,4
880,98,3
637,229,5
663,527,5
473,603,4
659,448,3
248,68,5
108,171,5
273,163,5
457,693,4
393,596,2
333,442,3
886,419,5
912,56,4
692,663,2
795,659,5
548,0,5
51,14,5
669,658,5
878,120,4
192,72,3
290,183,4
832,639,3
631,232,3
673,180,4
586,679,1
377,120,4
129,180,5
617,51,3
435,789,3
422,257,5
789,1470,2
485,457,3
614,735,5
933,172,3
674,426,5
693,51,4
137,115,2
517,288,4
436,442,4
642,86,5
902,126,5
279,1040,5
161,49,5
64,513,4
824,618,4
284,182,4
834,309,4
457,468,4
234,318,4
495,163,3
492,368,2
455,844,3
43,88,5
880,575,3
565,478,4
428,86,3
626,134,4
333,199,4
398,692,3
607,735,4
127,68,4
641,920,5
61,0,2
673,281,5
477,201,4
44,933,2
279,662,4
360,738,4
638,646,3
3,257,5
649,232,2
55,234,1
789,958,3
592,723,3
933,130,4
456,468,4
615,300,3
294,1458,5
392,952,4
361,257,4
446,1015,3
296,264,3
567,474,4
534,630,5
10,7,4
392,398,4
394,377,5
715,494,4
54,1088,1
451,195,4
898,317,4
846,1006,4
532,707,2
888,194,4
17,509,4
143,473,4
738,1428,5
536,632,3
124,175,5
553,7,4
115,332,2
519,282,4
292,281,2
290,96,4
870,1387,4
540,256,5
536,734,3
233,922,4
605,506,4
618,567,5
297,434,5
918,20,2
40,208,4
70,13,5
706,215,3
243,549,1
486,782,4
297,283,4
895,234,1
733,698,4
286,0,5
483,87,4
803,327,4
434,844,3
746,207,5
708,294,3
415,288,3
94,682,4
649,234,3
329,863,4
377,767,4
226,755,3
265,267,4
590,44,5
424,293,2
12,416,2
268,97,4
310,558,2
882,48,3
372,174,3
863,450,4
658,6,3
304,59,3
544,377,3
486,1,3
21,402,5
150,130,5
247,6,2
872,327,4
896,482,3
731,303,5
773,919,2
118,300,4
832,478,2
795,35,1
318,268,3
431,0,2
147,226,4
628,8,4
867,152,2
400,534,2
536,46,4
436,401,2
556,49,4
232,49,3
321,196,5
112,293,4
151,274,4
486,86,5
17,150,3
637,404,3
467,3,5
173,0,3
397,500,3
845,267,4
797,659,3
616,268,1
652,181,3
914,306,3
720,288,3
851,234,4
785,403,4
404,515,1
261,789,3
108,410,4
308,325,5
825,28,3
441,32,3
290,565,4
270,355,4
199,172,5
82,65,4
408,683,4
449,133,3
795,735,3
395,471,5
449,1281,3
118,824,3
223,244,3
488,293,3
838,236,3
98,826,3
101,240,3
775,558,4
205,287,5
307,683,3
846,427,3
278,20,3
737,1015,3
642,629,3
255,848,2
641,312,5
692,209,3
786,270,1
224,477,5
404,396,4
233,303,3
59,603,4
212,174,4
91,392,3
926,741,5
330,237,4
566,196,5
560,954,3
317,314,5
428,7,3
853,527,4
428,664,2
861,110,5
928,186,5
624,854,4
499,963,4
238,182,5
108,232,4
607,85,5
321,22,5
616,423,1
298,398,2
477,68,3
773,264,3
406,714,4
2,335,1
677,146,4
372,94,5
522,212,5
301,679,2
840,688,5
377,275,4
561,88,1
41,110,1
587,72,3
291,213,3
652,619,3
458,126,4
212,6,4
20,287,3
696,1159,1
89,493,5
40,96,3
772,13,5
895,941,4
82,299,3
893,354,3
902,745,2
882,68,2
162,304,2
520,683,3
41,976,2
58,96,5
499,61,3
155,527,4
388,216,3
692,603,3
497,474,3
287,196,5
419,492,3
94,141,4
449,1171,5
803,623,2
642,545,3
804,624,3
61,175,5
372,419,4
235,461,4
153,641,3
223,1220,3
475,267,4
209,500,4
137,434,5
486,738,2
20,546,2
715,427,3
903,299,4
932,264,4
376,681,3
305,115,5
931,754,2
540,624,4
183,276,3
400,195,5
436,94,4
532,282,3
839,755,4
186,185,4
714,216,2
535,152,4
659,558,2
585,221,3
451,403,4
335,745,3
188,280,2
931,889,1
544,221,4
388,493,5
63,240,3
879,39,2
750,249,3
313,730,4
534,204,3
891,72,3
208,284,5
545,568,4
704,226,4
711,968,4
757,191,4
144,10,5
126,229,5
144,119,2
95,186,5
426,262,5
217,268,4
93,78,4
628,193,5
568,1013,3
763,530,5
173,201,5
670,297,4
558,549,4
839,212,4
406,1117,4
551,322,2
923,204,4
203,257,2
31,270,3
233,85,2
406,509,4
559,616,3
804,215,2
803,519,4
783,309,4
590,654,4
473,275,5
233,608,3
235,281,5
82,109,4
394,236,4
842,525,3
795,719,4
888,152,5
278,396,4
393,410,4
779,704,5
757,306,3
478,488,5
523,512,4
6,471,2
86,565,5
415,606,5
853,332,3
326,153,4
483,426,5
605,312,5
315,530,5
436,1006,5
68,264,4
296,134,4
523,1203,3
565,287,3
745,545,3
252,7,4
105,44,3
937,121,1
495,660,3
837,120,2
437,300,4
386,767,1
646,146,4
692,196,3
877,87,4
458,257,3
536,474,4
453,135,3
869,68,4
880,120,5
584,164,4
900,57,4
290,566,5
861,68,5
499,222,4
386,95,4
453,133,3
654,1552,4
698,1142,3
524,281,4
825,183,3
98,65,3
513,429,4
660,120,2
534,961,4
585,1046,3
221,1028,1
465,120,3
297,422,5
232,434,5
506,1236,5
898,596,2
546,268,3
233,380,3
356,830,3
120,404,2
386,113,5
804,196,5
334,341,2
426,257,4
503,152,3
388,98,5
879,157,2
585,355,4
780,301,5
712,268,4
343,895,4
425,431,3
765,365,3
464,257,5
341,1015,1
184,113,4
150,134,5
147,150,4
804,548,3
785,221,4
825,549,3
63,110,4
428,275,5
542,460,3
859,315,3
605,618,4
157,513,3
343,207,5
207,523,4
270,179,5
144,630,4
544,509,3
386,384,3
617,236,4
292,365,2
408,209,4
183,13,4
755,49,4
659,208,4
16,0,4
228,348,4
113,181,3
573,332,3
489,454,4
488,686,3
820,470,4
732,8,3
664,471,3
895,14,3
335,392,3
491,1020,3
415,820,4
408,608,3
302,267,5
905,283,4
886,199,1
768,823,2
449,513,5
592,1015,4
404,383,3
182,176,5
289,738,3
276,618,4
91,976,2
261,698,5
69,449,1
592,470,3
503,938,4
710,416,4
652,1131,1
38,300,3
356,404,5
404,381,1
77,870,3
825,226,4
71,524,4
804,469,5
617,777,3
777,225,4
565,377,4
209,968,4
287,267,4
283,332,3
377,94,4
636,8,1
185,549,4
506,333,5
295,509,5
886,409,4
475,79,3
183,165,3
765,950,3
117,178,5
467,43,4
192,579,4
330,220,4
93,98,3
822,156,5
476,89,4
36,1026,3
658,293,4
384,215,2
560,404,2
337,662,5
720,126,5
495,651,5
12,300,1
752,303,4
326,304,5
832,473,5
688,221,5
541,185,4
4,374,3
279,450,5
105,160,3
748,226,4
343,1136,3
229,232,1
416,49,3
794,422,2
566,386,4
750,658,5
497,13,4
140,146,4
935,1170,5
839,215,4
401,14,5
373,596,4
255,582,5
617,116,5
0,22,4
222,681,4
718,381,2
692,160,3
675,180,5
769,249,5
248,6,5
300,442,4
650,300,3
50,181,3
661,49,3
434,401,3
708,558,3
741,14,4
302,812,4
129,116,5
601,879,4
378,151,5
513,473,5
314,97,4
926,94,5
715,283,3
223,726,4
657,723,3
436,150,5
278,172,5
276,281,4
496,48,3
206,565,4
667,901,2
254,878,3
822,57,5
842,171,3
534,31,3
926,403,4
193,743,3
441,449,3
136,384,5
535,1117,2
894,274,5
931,211,4
499,119,3
404,1247,1
668,646,5
559,1013,4
870,146,5
572,236,4
617,196,3
928,283,2
377,470,3
804,1070,4
558,392,2
144,229,5
206,992,3
888,236,4
302,230,4
398,225,3
475,3,4
462,863,3
107,123,4
631,193,4
194,412,3
915,474,4
311,0,5
804,558,3
151,110,5
376,267,3
422,299,3
446,951,4
20,618,2
827,59,4
76,178,5
386,1007,4
329,135,5
275,545,3
322,180,5
328,281,3
317,604,4
91,462,4
310,649,3
633,0,3
628,6,2
605,392,4
697,182,3
523,49,4
751,287,5
473,504,5
174,182,4
487,181,3
294,229,4
930,458,4
115,180,4
310,185,3
275,1244,3
289,698,3
